idTweet,fullText
1.48E+18,"Boletín Oficial 368 🇪🇨

El presidente Guillermo  Lasso anunció que el año 2022 arranca con buenas noticias: inicia la entrega de créditos productivos al 1 % de interés con hasta 30 años plazo por parte de @BanEcuadorBP.

📰➡️ https://t.co/OjseS5muJz

#JuntosCumplimos https://t.co/2WfbCMjmRk"
1.48E+18,"Boletín Oficial 369 🇪🇨

Este miércoles 5 de enero, el presidente Guillermo Lasso liderará el lanzamiento de créditos productivos focalizados, al 1 % de interés anual a 30 años plazo. 

📰➡️ https://t.co/hmuZMYZxzd

#JuntosCumplimos https://t.co/EYTeOgzgBk"
1.48E+18,"El presidente de la República, Guillermo Lasso, justificó su ausencia en Zaruma para la reunión de evaluación de este jueves, debido a que el Gobernador de El Oro, el Vicepresidente del Ecuador y el presidente del COE Nacional (Juan Zapata) dieron positivo para Covid-19. https://t.co/XE2Lk8blt3"
1.48E+18,"Boletín Oficial 367 🇪🇨

Con la finalidad de impulsar la política exterior del Gobierno con la consolidación de metas, el presidente Guillermo Lasso designó a Juan Carlos Holguín como ministro de Relaciones Exteriores y Movilidad Humana. 

📰➡️ https://t.co/fDHJfFApAS https://t.co/KXST11gN3I"
1.48E+18,"Boletín Oficial 370 🇪🇨

Una nueva promesa cumplida se cristaliza para los ecuatorianos. La mañana de este miércoles 5 de enero, el presidente de la República, Guillermo Lasso, anunció la entrega de los ‘#CréditoDeLasOportunidades’.

📰➡️ https://t.co/7aYAvgJcan https://t.co/f8yGTwRjvr"
1.48E+18,"#Política //El presidente Guillermo Lasso firmó el Decreto Ejecutivo 311 por el cual modifica el Decreto 180 sobre el proceso de venta del avión presidencial Legacy EMB-135 BJ, emitido el 31 de agosto de 2021.
Más detalles en el siguiente enlace:
https://t.co/3iZ5z7Qt4T https://t.co/G2JaX1z23s"
1.48E+18,"ATENCIÓN: presidente Guillermo Lasso acaba de firmar el decreto Ejecutivo para la entrega de bonos por desastre, que asciende a $252, a los damnificados por el socavón en #Zaruma."
1.48E+18,@semarco @LassoGuillermo Yo si te creo y te apoyo Guillermo Lasso Presidente 🇪🇨👏👏 https://t.co/dtLLRRJmsB
1.48E+18,#Tendencia Presidente Guillermo Lasso hace cambios al decreto de venta del avión presidencial ► Aquí las  #Noticias https://t.co/uqwx00dbTO https://t.co/YUXZD6nrO0
1.48E+18,#LoMasVisto Presidente Guillermo Lasso hace cambios al decreto de venta del avión presidencial ► https://t.co/Wgu5wJQzat https://t.co/BSyOM0dfmm
1.48E+18,"#MORENAINFORMA // El presidente de la República, Guillermo Lasso, firmó el Decreto Ejecutivo para que a través del Ministerio de Inclusión Económica y Social (MIES), se entregue el bono de contingencia a familias afectadas por el socavón en el cantón Zaruma https://t.co/FRJaI51h2M"
1.48E+18,#NoticiaDelDia Presidente Guillermo Lasso hace cambios al decreto de venta del avión presidencial ► https://t.co/JqbLZ62Gvg https://t.co/bdw9xf3HQ0
1.48E+18,"El presidente de la Conaie, @LeonidasIzaSal1, respondió al primer mandatario, Guillermo Lasso, quien, en días anteriores lo llamó enemigo de la democracia y lo acusó de querer desestabilizar al país. Informa @adribermeo 
https://t.co/15q12tVgfo"
1.48E+18,"#Ecuador 📌 PRESIDENTE TRANSFIERE GRATUITAMENTE EL AVIÓN PRESIDENCIAL ▪️El avión presidencial Legacy, comprado en el Gobierno de Rafael Correa, fue entregado a título gratuito, a la Secretaría de Gestión Inmobiliaria del Sector Público. Presidente Guillermo Lasso firmó el Decreto https://t.co/hlCfsAR8hA"
1.48E+18,"Guillermo Lasso. Otros confirmados Presidente de Francia Emmanuel Macron, y al Presidente de Irlanda, Michael D. Higgins..esos hasta ahora,  desde Estados Unidos la vicepresidenta Kamala Harris."
1.48E+18,"El presidente de la República, Guillermo Lasso, envió la terna para la designación de la máxima autoridad de la Superintendencia de Compañías, Valores y Seguros. 

@LassoGuillermo 
@Presidencia_Ec
@ComunicacionEc https://t.co/Vb6YCDRmRr"
1.48E+18,"El presidente de la República, Guillermo Lasso, envió la terna para la designación de la máxima autoridad de la Superintendencia de Compañías, Valores y Seguros. 

@LassoGuillermo 
@Presidencia_Ec
@ComunicacionEc https://t.co/vKiD4lOKhN"
1.48E+18,Juan Zapata hará aislamiento voluntario ante confirmación de casos de COVID-19; en la Asamblea Nacional suman 128 contagios ► https://t.co/BASbW007zN https://t.co/RVsjsJ7KcI
1.48E+18,"Buenas tardes compañeros/as

Que tengan una linda tarde

Me permito socializar lo siguiente:

CARTA ABIERTA DE  RESPALDO  AL INGENIERO LEONIDAS IZA, PRESIDENTE DE LA CONAIE, ANTE LAS AMENAZAS QUE RECIBIÓ  POR PARTE DEL GOBIERNO  DE GUILLERMO LASSO https://t.co/n3gNdAmGAm"
1.48E+18,"Video en el siguiente enlace 👇
https://t.co/M2hVzwZeRZ"
1.48E+18,"Leonidas Iza, presidente de la Conaie, le respondió a Guillermo Lasso, quien en días pasados lo llamó enemigo de la democracia y lo acusó de buscar desestabilizar al país. #NoticiasNacionales #Quito Cortesía UCSG (Canal - aliado) https://t.co/PTiAyXmalB"
1.48E+18,"Y ahora la perla del día...JM: Papi no me gusta el Presidente Guillermo Lasso...Papá: porque hijo?...JM: Dice tonteras, me gustaba más el anterior el de la silla de ruedas porque era más chistoso PLOP!!!! José Martin, 7 años   🤣🤣🤣 #parecechisteperoesanecdota"
1.48E+18,"@Polificcion La siguiente pregunta es clara y contundente, porqué Guillermo Lasso con tantos millones su ambición era llegar ser presidente?"
1.48E+18,"#OFICIAL 📌 el presidente de la República, Guillermo Lasso, envió la terna para la designación de la máxima autoridad de la Superintendencia de Compañías, Valores y Seguros. https://t.co/0ghkkdt46r"
1.48E+18,"⭕️ Marco López, María García y Esteban Coello son los nombres de la terna que el presidente Guillermo Lasso propone para el nuevo Superintendente de Compañías. https://t.co/zXLkLoDbBB"
1.48E+18,"Presidente Guillermo Lasso, dispuso que el Ministerio de Inclusion Social, entregue el bono de contingencia a familias afectadas por el socavón en Zaruma. https://t.co/vaOJ21a6pR"
1.48E+18,"El presidente Guillermo Lasso responsabilizo al alcalde de Zaruma, Jonshy Sanchez, del problema que está vivíedo el canton el primer mandatario señaló que el burgomaestre lleva 6 años de gestión y no logró prevenir un desastre como el socavón. “Su labor deja mucho que desear”. https://t.co/nVDEvEYx7W"
1.48E+18,"Alcalde de Zaruma, Johnsy López, emite comunicado manifestando que el presidente Guillermo Lasso hecha sobre sus hombro el problema de los socavones que esta afectando a Zaruma. https://t.co/BXlEYCn4b0"
1.48E+18,"Grupos sociales y sindicales de #Ecuador creen que las políticas del presidente Guillermo Lasso incurren en la ""violencia"" contra la ciudadanía, mientras preparan su próxima #protesta popular para el 19 de enero. 

#LaPrensaInforma https://t.co/FHjQOew6lt"
1.48E+18,"@Micc_Ec Y así la CONAIE-Pachakutik le dieron votos al banquero evasor y criminal de Guillermo Lasso con su ""Nulo Ideológico"", sabiendo muy bien que al final, ya de presidente, los traicionaría, porque ni conoce la vida campesina y su cultura ancestral, ni le importa el pueblo ecuatoriano"
1.48E+18,"Alcalde del Cantón Zaruma Ing. Jansy López, le responde duramente al Presidente Guillermo Lasso, mañana en @radio_gaviota en su noticiero analizaremos, síguenos por Facebook https://t.co/VFtIEEUoYn"
1.48E+18,"De lejos, nomás. El Presidente Guillermo Lasso suspende sus actividades presenciales por precaución ante el #Covid19 y su agenda la desarrollará de manera virtual. Suspendió la visita que tenía programada para hoy a #Zaruma. https://t.co/NUWvXUh7FP"
1.48E+18,"A través del decreto 316, el presidente Guillermo Lasso dispuso la entrega de un bono por desastres a 93 familias damnificadas por el socavón en Zaruma, que dejó tres viviendas destruidas y 49 en riesgo."
1.48E+18,"@ComunicacionEc Yo también quiero para la extracción de miel de abeja 🐝 si me darán pero no tengo la libreta de banecuador, gracias sr.presidente Guillermo Lasso 👏 👍 💪 🙌 👌"
1.48E+18,"El presidente Guillermo Lasso oficializó la entrega de bonos a los damnificados en Zaruma. El mandatario hizo un llamado de atención al alcalde Jhansy López, porque en sus seis años de administración no ha delimitado el territorio urbano en el cantón. #NoticiasNacionales #Quito https://t.co/2Ph0q30csB"
1.48E+18,“Su labor deja mucho que desear…teniendo 6 años en la alcaldía…” le dijo el presidente Guillermo Lasso al alcalde de Zaruma Jhansy López en la reunión que se lleva a cabo este momento para evaluar la situación de minería en el sitio.
1.48E+18,"Presidente Guillermo Lasso si quiere Gobernar en paz,de todos los Ministerios y del Seguro Social,tiene que mandar sacando a los Correistas,son Problemáticos y tienen la mentalidad solo de robar como su ( Jefe el Enfermo Mental ) que Gobernó 10 años y no hizo nada y solo robó."
1.48E+18,@tinocotania Esto es la plaga del Moreno Lasso LADRONASSO así comesaron a destruir al ecuador  medio la PRENSA NESFASTA MENTIROSA ASI NOS DESTRUYERON A LOS ECUATORIANOS    así lo siguen destruyendo  a mi país
1.48E+18,"LADRONASSO Y LA PRECARIZACION EN LA SALUD, FUERA LASSO FUERA. https://t.co/vyt4H0Y4cv"
1.48E+18,"LADRONASSO Y LA PRECARIZACION EN LA SALUD EDUCACION, FUERA LASSO FUERA. https://t.co/U3SjgSZM59"
1.48E+18,"LADRONASSO Y LA PRECARIZACION EN LA SALUD, FUERA LASSO FUERA. https://t.co/FMElhXOLPd"
1.48E+18,"LADRONASSO Y LA PRECARIZACION EN LA SALUD, FUERA LASSO FUERA. https://t.co/S0OAKEXiqe"
1.48E+18,"PERIODISMO DE CUOTAS Lasso asegura apoyo a cambio de puestos. Sistema de... https://t.co/HpZLBcylgd a través de @YouTube LADRONASSO Y LA PRECARIZACION EN LA SALUD, FUERA LASSO FUERA."
1.48E+18,RAPOSSA LASSO #LADRONASSO #LassoMentiroso https://t.co/gkr5RDvT9x https://t.co/oWQ02PiXBg
1.48E+18,"@LeonidasIzaSal1 Total apoyo a Leonidas Iza y la Conaie en Quito, tenemos que sacar a la basura Lasso ladronasso"
1.48E+18,Y porque no comienzas dándolos créditos en tu banco de Guayaquil ladronasso y aci te creeremos un poco lasso eres ladronasso. #JuntosCumplimos
1.48E+18,"@wilfridolaz @LassoGuillermo ¡Algo hay que hacer Y URGENTE.   LADRONASSO PANDORASSO, NO SABE COMO GOBERNAR, NO ES PRESIDENTE DE ECUADOR.  FUERA LASSO FUERA, FUERA!!"
1.48E+18,@ErmelRosario El ladrón más protegido por la mayoría de la prensa corrupta es ladronasso LASSO ES LADRÓN
1.48E+18,"EL LADRONASSO LASSO VA HA QUEBRAR AL BANCO DEL PACIFICO, COMO LO HIZO EN 1994 AL BANCO CONTINENTAL, SOLO ESTA ROBANDOSE LO QUE MÁS PUEDA ANTES QUE LLEGUE ENERO 2022 Y LO SAQUEMOS A PATADAS DE PAÍS https://t.co/swcR7loXVi"
1.48E+18,"@DiazYJose EL LADRONASSO LASSO VA HA QUEBRAR AL BANCO DEL PACIFICO, COMO LO HIZO EN 1994 AL BANCO CONTINENTAL, SOLO ESTA ROBANDOSE LO QUE MÁS PUEDA ANTES QUE LLEGUE ENERO 2022 Y LO SAQUEMOS A PATADAS DE PAÍS"
1.48E+18,"EL PANDORASSO LADRONASSO DE LASSO LO ESTA QUEBRANDO AL BANCO DEL PACIFICO, SE ESTA ROBANDO AL BANCO

LASSO #LassoEsUnFracasso https://t.co/mLqyRAiqnt"
1.48E+18,"EL PANDORASSO LADRONASSO DE LASSO LO ESTA QUEBRANDO AL BANCO DEL PACIFICO, SE ESTA ROBANDO AL BANCO

LASSO #LassoEsUnFracasso https://t.co/685pMf8pgY"
